1,503.2077,213.7632,17.8625,37.5616,0.16339716
1,364.8728,204.5552,31.4598,42.8749,0.13026050
1,92.9464,124.3803,57.9214,141.7543,0.10209209
2,528.9725,223.3562,21.6316,50.0466,0.80109829
2,367.9695,202.3151,25.3820,50.7327,0.11766292
3,563.2289,233.1572,25.3619,56.0931,0.94194275
5,549.4742,224.0259,26.6943,50.7599,0.29035050
5,335.8363,234.4090,28.0254,50.4630,0.10401201
6,337.4949,215.0906,63.5201,39.8244,0.12027487
13,464.1258,206.3590,27.2000,53.7438,0.56375396
13,15.6074,199.6712,40.4945,58.8833,0.15112923
13,458.3397,206.7853,21.5652,43.4500,0.13033035
14,489.1081,214.6111,21.4946,41.7496,0.73801851
14,600.2524,188.9932,24.8520,58.6776,0.12552395
14,578.8567,182.1843,48.3991,72.4084,0.10003183
15,528.4580,214.6933,27.9916,65.2296,0.60359502
16,575.9559,230.0273,23.4635,49.6952,0.90127480
16,104.2742,213.7641,26.9459,51.8941,0.16685237
16,438.9176,219.2703,25.0163,42.0412,0.11725174
17,459.8795,206.3713,18.2841,35.4306,0.52356887
17,444.1760,205.7889,17.9508,38.0555,0.37859237
18,466.0570,217.5179,21.9016,39.5927,0.90002811
18,450.3756,214.6227,21.4021,45.1765,0.68582129
18,56.4643,204.0086,33.9739,56.0529,0.29174384
18,504.6949,216.3266,24.1582,42.8446,0.18888405
19,465.3266,214.0321,19.4242,46.4752,0.96785772
19,483.7114,214.0602,21.4883,45.9113,0.96334249
19,472.6677,213.3337,20.5360,48.5605,0.49150431
19,372.9382,215.5810,23.6025,37.9168,0.12152592
19,547.2932,202.8592,33.3998,60.4056,0.10457367
20,515.0853,216.1534,23.6404,52.9706,0.99388528
20,490.2641,219.6259,22.2186,50.6631,0.98872763
20,386.4290,220.0884,24.1705,53.0144,0.68063998
20,505.0672,216.3569,22.9264,50.7592,0.26089016
21,575.0669,213.3273,25.9082,61.8443,0.99980187
21,543.2087,217.1703,23.5659,60.2018,0.99954426
21,415.9469,208.3808,26.3375,65.4653,0.22171585
21,560.6896,215.7080,24.2586,55.9928,0.14069849
22,452.2629,213.1686,20.9959,47.1986,0.73599291
22,32.3529,170.0591,31.3882,73.6713,0.15478617
22,515.9994,216.0809,22.5975,59.7486,0.11783358
23,521.3152,208.5722,28.6326,69.5757,0.99847120
23,479.2325,212.2428,25.2435,49.2758,0.14255282
23,490.9738,206.7216,23.8351,58.9873,0.12692246
23,166.8439,205.1636,29.7649,41.4007,0.12559295
23,480.9749,200.6254,40.2994,86.5583,0.12209785
24,546.3065,215.3125,25.0114,59.9544,0.99651736
